Term,RelationType,Value,Language
Логистикалық қамтамасыз ету,SN,"Әскери операцияларға қажетті ресурстар, жабдықтау, көлік және қызметтерді қамтамасыз ету",KZ
Logistical Support,RT,Military Operation,EN
Логистическая поддержка,RT,Военная операция,RU
Логистикалық қамтамасыз ету,RT,Әскери операция,KZ
Logistical Support,NT,Supply Chain,EN
Logistical Support,NT,Transport Operations,EN
Логистическая поддержка,NT,Цепочка поставок,RU
Логистическая поддержка,NT,Транспортные операции,RU
Логистикалық қамтамасыз ету,NT,Жабдықтау тізбегі,KZ
Логистикалық қамтамасыз ету,NT,Тасымалдау операциялары,KZ
Logistical Support,UF,Resource Support,EN
Logistical Support,UF,Maintenance Support,EN
Логистическая поддержка,UF,Поддержка ресурсов,RU
Логистическая поддержка,UF,Обслуживание,RU
Логистикалық қамтамасыз ету,UF,Ресурстық қолдау,KZ
Логистикалық қамтамасыз ету,UF,Техникалық қызмет көрсету,KZ
Logistical Support,PT,Warehousing,EN
Logistical Support,PT,Transport Units,EN
Логистическая поддержка,PT,Склады,RU
Логистическая поддержка,PT,Транспортные подразделения,RU
Логистикалық қамтамасыз ету,PT,Қоймалар,KZ
Логистикалық қамтамасыз ету,PT,Көлік бөлімшелері,KZ
Logistical Support,LE,Support logistique (FR),EN
Логистическая поддержка,LE,Support logistique (FR),RU
Логистикалық қамтамасыз ету,LE,Support logistique (FR),KZ
Rules of Engagement,BT,Military Operation,EN
Правила ведения боя,BT,Военная операция,RU
Шабуыл және қорғаныс ережелері,BT,Әскери операция,KZ
Rules of Engagement,SN,"Directives that define when, where, and how military forces may engage the enemy",EN
Правила ведения боя,SN,"Инструкции, определяющие когда, где и как вооружённые силы могут вступать в бой",RU
Шабуыл және қорғаныс ережелері,SN,"Әскери күштердің қашан, қай жерде және қалай жауға әрекет етуі керегін анықтайтын нұсқаулар",KZ
Rules of Engagement,RT,Military Operation,EN
Правила ведения боя,RT,Военная операция,RU
Шабуыл және қорғаныс ережелері,RT,Әскери операция,KZ
Rules of Engagement,NT,Engagement Protocol,EN
Rules of Engagement,NT,Use of Force Guidelines,EN
Правила ведения боя,NT,Протокол ведения боя,RU
Правила ведения боя,NT,Руководство по применению силы,RU
Шабуыл және қорғаныс ережелері,NT,Қарым-қатынас протоколы,KZ
Шабуыл және қорғаныс ережелері,NT,Күш қолдану жөніндегі нұсқаулық,KZ
Rules of Engagement,UF,Combat Rules,EN
Rules of Engagement,UF,Engagement Rules,EN
Правила ведения боя,UF,Правила боя,RU
Правила ведения боя,UF,Правила взаимодействия,RU
Шабуыл және қорғаныс ережелері,UF,Соғыс ережелері,KZ
Шабуыл және қорғаныс ережелері,UF,Қарым-қатынас ережелері,KZ
Rules of Engagement,PT,Orders,EN
Rules of Engagement,PT,Directives,EN
Правила ведения боя,PT,Приказы,RU
Правила ведения боя,PT,Директивы,RU
Шабуыл және қорғаныс ережелері,PT,Бұйрықтар,KZ
Шабуыл және қорғаныс ережелері,PT,Нұсқаулар,KZ
Rules of Engagement,LE,Règles d'engagement (FR),EN
Правила ведения боя,LE,Règles d'engagement (FR),RU
Шабуыл және қорғаныс ережелері,LE,Règles d'engagement (FR),KZ
War Operation,BT,Military Operation,EN
Военные действия,BT,Военная операция,RU
Соғыс операциясы,BT,Әскери операция,KZ
War Operation,SN,"Any organized operation conducted in the context of war, including combat and support actions",EN
Военные действия,SN,"Любая организованная операция в условиях войны, включая боевые и вспомогательные действия",RU
Соғыс операциясы,SN,"Соғыс жағдайында жүргізілетін кез келген ұйымдастырылған операция, соның ішінде шайқас және қолдау әрекеттері",KZ
War Operation,UF,Military Operation,EN
Военные действия,UF,Военная операция,RU
Соғыс операциясы,UF,Әскери операция,KZ
War Operation,NT,Offensive War Operation,EN
War Operation,NT,Defensive War Operation,EN
Военные действия,NT,Наступательная военная операция,RU
Военные действия,NT,Оборонительная военная операция,RU
Соғыс операциясы,NT,Шабуыл соғыс операциясы,KZ
Соғыс операциясы,NT,Қорғаныс соғыс операциясы,KZ
War Operation,RT,Strategic War Action,EN
War Operation,RT,Tactical War Action,EN
Военные действия,RT,Стратегическое военное действие,RU
Военные действия,RT,Тактическое военное действие,RU
Соғыс операциясы,RT,Стратегиялық соғыс әрекеті,KZ
Соғыс операциясы,RT,Тактикалық соғыс әрекеті,KZ
War Operation,PT,Combat Engagements,EN
War Operation,PT,War Maneuvers,EN
Военные действия,PT,Боевые столкновения,RU
Военные действия,PT,Военные манёвры,RU
Соғыс операциясы,PT,Шайқастар,KZ
Соғыс операциясы,PT,Соғыс маневрлері,KZ
War Operation,LE,Opération de guerre (FR),EN
Военные действия,LE,Opération de guerre (FR),RU
Соғыс операциясы,LE,Opération de guerre (FR),KZ
Military Campaign,BT,Military Operation,EN
Военная кампания,BT,Военная операция,RU
Әскери науқан,BT,Әскери операция,KZ
Military Campaign,SN,A series of military operations aimed at achieving strategic objectives within a particular theater or region,EN
Военная кампания,SN,"Серия военных операций, направленных на достижение стратегических целей в определённом регионе",RU
Әскери науқан,SN,Белгілі бір аймақта стратегиялық мақсаттарға жетуге бағытталған әскери операциялар сериясы,KZ
Military Campaign,UF,Military Operation,EN
Военная кампания,UF,Военная операция,RU
Әскери науқан,UF,Әскери операция,KZ
Military Campaign,NT,Siege Campaign,EN
Military Campaign,NT,Offensive Campaign,EN
Военная кампания,NT,Осада,RU
Военная кампания,NT,Наступательная кампания,RU
Әскери науқан,NT,Қоршау науқаны,KZ
Әскери науқан,NT,Шабуыл науқаны,KZ
Military Campaign,RT,Coordinated Military Action,EN
Military Campaign,RT,Resource Planning,EN
Военная кампания,RT,Координированные военные действия,RU
Военная кампания,RT,Планирование ресурсов,RU
Әскери науқан,RT,Үйлестірілген әскери әрекеттер,KZ
Әскери науқан,RT,Ресурстарды жоспарлау,KZ
Military Campaign,PT,Campaign Plans,EN
Military Campaign,PT,Operational Units,EN
Военная кампания,PT,Планы кампаний,RU
Военная кампания,PT,Оперативные подразделения,RU
Әскери науқан,PT,Науқан жоспарлары,KZ
Әскери науқан,PT,Операциялық бөлімшелер,KZ
Military Campaign,LE,Campagne militaire (FR),EN
Военная кампания,LE,Campagne militaire (FR),RU
Әскери науқан,LE,Campagne militaire (FR),KZ
Operational Battle Action,BT,Military Operation,EN
Оперативные боевые действия,BT,Военная операция,RU
Операциялық шайқас әрекеті,BT,Әскери операция,KZ
Operational Battle Action,SN,Specific actions undertaken during a military engagement or operation to achieve tactical objectives,EN
Оперативные боевые действия,SN,"Конкретные действия, выполняемые во время военной операции для достижения тактических целей",RU
Операциялық шайқас әрекеті,SN,Тактикалық мақсаттарға жету үшін әскери әрекет кезінде орындалатын нақты әрекеттер,KZ
Operational Battle Action,UF,Military Operation,EN
Оперативные боевые действия,UF,Военная операция,RU
Операциялық шайқас әрекеті,UF,Әскери операция,KZ
Operational Battle Action,NT,Direct Combat Action,EN
Operational Battle Action,NT,Support Action,EN
Оперативные боевые действия,NT,Прямое боевое действие,RU
Оперативные боевые действия,NT,Поддерживающее действие,RU
Операциялық шайқас әрекеті,NT,Тікелей шайқас әрекеті,KZ
Операциялық шайқас әрекеті,NT,Қолдау әрекеті,KZ
Operational Battle Action,RT,Tactical Planning,EN
Operational Battle Action,RT,Resource Coordination,EN
Оперативные боевые действия,RT,Тактическое планирование,RU
Оперативные боевые действия,RT,Координация ресурсов,RU
Операциялық шайқас әрекеті,RT,Тактикалық жоспарлау,KZ
Операциялық шайқас әрекеті,RT,Ресурстарды үйлестіру,KZ
Operational Battle Action,PT,Engagements,EN
Operational Battle Action,PT,Operational Units,EN
Оперативные боевые действия,PT,Столкновения,RU
Оперативные боевые действия,PT,Оперативные подразделения,RU
Операциялық шайқас әрекеті,PT,Шайқастар,KZ
Операциялық шайқас әрекеті,PT,Операциялық бөлімшелер,KZ
Operational Battle Action,LE,Action de combat opérationnelle (FR),EN
Оперативные боевые действия,LE,Action de combat opérationnelle (FR),RU
Операциялық шайқас әрекеті,LE,Action de combat opérationnelle (FR),KZ
,,,
