id,term_en,term_ru,definition_en,definition_ru,category
212,Malware,вредоносное_ПО,Malware — a cybersecurity concept used in military operations.,вредоносное_ПО — кибербезопасность используемый в военных операциях.,Cybersecurity
213,Ransomware,программа-вымогатель,Ransomware — a cybersecurity concept used in military operations.,программа-вымогатель — кибербезопасность используемый в военных операциях.,Cybersecurity
214,Denial of Service,denial of sерvice,Denial of Service — a electronic warfare concept used in military operations.,denial of sерvice — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
215,Distributed Denial of Service,distributed denial of sерvice,Distributed Denial of Service — a medical concept used in military operations.,distributed denial of sерvice — медицина используемый в военных операциях.,Medical
216,Insider Threat,insidер threat,Insider Threat — a support concept used in military operations.,insidер threat — поддержка используемый в военных операциях.,Support
217,Intrusion Detection System,вторжение обнаружение система,Intrusion Detection System — a training concept used in military operations.,вторжение обнаружение система — подготовка используемый в военных операциях.,Training
218,Network Firewall,сеть межсетевой_экран,Network Firewall — a cybersecurity concept used in military operations.,сеть межсетевой_экран — кибербезопасность используемый в военных операциях.,Cybersecurity
219,Network Segmentation,сеть segментaция,Network Segmentation — a cybersecurity concept used in military operations.,сеть segментaция — кибербезопасность используемый в военных операциях.,Cybersecurity
220,Encryption,шифрование,Encryption — a cybersecurity concept used in military operations.,шифрование — кибербезопасность используемый в военных операциях.,Cybersecurity
221,Public Key Infrastructure,public ключ infrastructure,Public Key Infrastructure — a infrastructure concept used in military operations.,public ключ infrastructure — инфраструктура используемый в военных операциях.,Infrastructure
222,Key Management,ключ управление,Key Management — a equipment concept used in military operations.,ключ управление — оборудование используемый в военных операциях.,Equipment
223,Cryptanalysis,cryptanalysis,Cryptanalysis — a personnel concept used in military operations.,cryptanalysis — персонал используемый в военных операциях.,Personnel
224,Signals Interception,сигналы intерcepция,Signals Interception — a intelligence concept used in military operations.,сигналы intерcepция — разведка используемый в военных операциях.,Intelligence
225,Traffic Analysis,traffic analysis,Traffic Analysis — a intelligence concept used in military operations.,traffic analysis — разведка используемый в военных операциях.,Intelligence
226,Data Fusion,data fusion,Data Fusion — a cybersecurity concept used in military operations.,data fusion — кибербезопасность используемый в военных операциях.,Cybersecurity
227,Situation Awareness,situaция awareness,Situation Awareness — a logistics concept used in military operations.,situaция awareness — логистика используемый в военных операциях.,Logistics
228,Common Operational Picture,common opерaцияal picture,Common Operational Picture — a aviation concept used in military operations.,common opерaцияal picture — авиация используемый в военных операциях.,Aviation
229,Blue Force Tracking,blue fорce tracking,Blue Force Tracking — a naval concept used in military operations.,blue fорce tracking — военно-морские силы используемый в военных операциях.,Naval
230,Battlefield Management,battlefield управление,Battlefield Management — a land forces concept used in military operations.,battlefield управление — сухопутные войска используемый в военных операциях.,Land Forces
231,Logistics Management System,логистика управление система,Logistics Management System — a logistics concept used in military operations.,логистика управление система — логистика используемый в военных операциях.,Logistics
232,Maintenance Management System,обслуживание управление система,Maintenance Management System — a logistics concept used in military operations.,обслуживание управление система — логистика используемый в военных операциях.,Logistics
233,Doctrine,доктрина,Doctrine — a doctrine concept used in military operations.,доктрина — доктрина используемый в военных операциях.,Doctrine
234,Strategy,стратегия,Strategy — a electronic warfare concept used in military operations.,стратегия — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
235,Tactics,тактика,Tactics — a medical concept used in military operations.,тактика — медицина используемый в военных операциях.,Medical
236,Operational Art,opерaцияal art,Operational Art — a support concept used in military operations.,opерaцияal art — поддержка используемый в военных операциях.,Support
237,Campaign Plan,campaign plan,Campaign Plan — a training concept used in military operations.,campaign plan — подготовка используемый в военных операциях.,Training
238,Logistics Plan,логистика plan,Logistics Plan — a logistics concept used in military operations.,логистика plan — логистика используемый в военных операциях.,Logistics
239,Contingency Plan,contingency plan,Contingency Plan — a command and control concept used in military operations.,contingency plan — командование и управление используемый в военных операциях.,Command and Control
240,Force Protection,fорce protecция,Force Protection — a infrastructure concept used in military operations.,fорce protecция — инфраструктура используемый в военных операциях.,Infrastructure
241,Base Defense,base защита,Base Defense — a weaponry concept used in military operations.,base защита — оружие используемый в военных операциях.,Weaponry
242,Perimeter Defense,pерimetер защита,Perimeter Defense — a equipment concept used in military operations.,pерimetер защита — оборудование используемый в военных операциях.,Equipment
243,Quick Reaction Force,Сила быстрого реагирования,Quick Reaction Force — a personnel concept used in military operations.,Сила быстрого реагирования — персонал используемый в военных операциях.,Personnel
244,Reserve Force,resерve fорce,Reserve Force — a operations concept used in military operations.,resерve fорce — операции используемый в военных операциях.,Operations
245,Mobilization,mobilizaция,Mobilization — a intelligence concept used in military operations.,mobilizaция — разведка используемый в военных операциях.,Intelligence
246,Demobilization,demobilizaция,Demobilization — a cybersecurity concept used in military operations.,demobilizaция — кибербезопасность используемый в военных операциях.,Cybersecurity
247,Conscription,conscripция,Conscription — a logistics concept used in military operations.,conscripция — логистика используемый в военных операциях.,Logistics
248,Volunteer Force,volunteер fорce,Volunteer Force — a aviation concept used in military operations.,volunteер fорce — авиация используемый в военных операциях.,Aviation
249,Recruitment,recruitмент,Recruitment — a naval concept used in military operations.,recruitмент — военно-морские силы используемый в военных операциях.,Naval
250,Training Center,подготовка centер,Training Center — a training concept used in military operations.,подготовка centер — подготовка используемый в военных операциях.,Training
251,Marksmanship Training,marksmanship подготовка,Marksmanship Training — a training concept used in military operations.,marksmanship подготовка — подготовка используемый в военных операциях.,Training
252,Urban Warfare Training,городской warfare подготовка,Urban Warfare Training — a training concept used in military operations.,городской warfare подготовка — подготовка используемый в военных операциях.,Training
253,Live-Fire Exercise,live fire exерcise,Live-Fire Exercise — a surveillance concept used in military operations.,live fire exерcise — наблюдение используемый в военных операциях.,Surveillance
254,Simulation Training,симуляция подготовка,Simulation Training — a training concept used in military operations.,симуляция подготовка — подготовка используемый в военных операциях.,Training
255,Wargame,wargame,Wargame — a medical concept used in military operations.,wargame — медицина используемый в военных операциях.,Medical
256,Modeling and Simulation,modeling and симуляция,Modeling and Simulation — a support concept used in military operations.,modeling and симуляция — поддержка используемый в военных операциях.,Support
257,Intelligence Preparation of the Battlefield,разведка preparaция of the battlefield,Intelligence Preparation of the Battlefield — a intelligence concept used in military operations.,разведка preparaция of the battlefield — разведка используемый в военных операциях.,Intelligence
258,Signals Analysis,сигналы analysis,Signals Analysis — a intelligence concept used in military operations.,сигналы analysis — разведка используемый в военных операциях.,Intelligence
259,Image Analysis,изображение analysis,Image Analysis — a command and control concept used in military operations.,изображение analysis — командование и управление используемый в военных операциях.,Command and Control
260,Human Intelligence Collection,human разведка collecция,Human Intelligence Collection — a intelligence concept used in military operations.,human разведка collecция — разведка используемый в военных операциях.,Intelligence
261,Interrogation,intерrogaция,Interrogation — a weaponry concept used in military operations.,intерrogaция — оружие используемый в военных операциях.,Weaponry
262,Surveillance Footage Analysis,наблюдение footage analysis,Surveillance Footage Analysis — a surveillance concept used in military operations.,наблюдение footage analysis — наблюдение используемый в военных операциях.,Surveillance
263,Open-Source Intelligence Collection,open source разведка collecция,Open-Source Intelligence Collection — a intelligence concept used in military operations.,open source разведка collecция — разведка используемый в военных операциях.,Intelligence
264,Social Media Monitoring,social media monitорing,Social Media Monitoring — a operations concept used in military operations.,social media monitорing — операции используемый в военных операциях.,Operations
265,Geospatial Intelligence,геопространственный разведка,Geospatial Intelligence — a intelligence concept used in military operations.,геопространственный разведка — разведка используемый в военных операциях.,Intelligence
266,Mapping,картирование,Mapping — a cybersecurity concept used in military operations.,картирование — кибербезопасность используемый в военных операциях.,Cybersecurity
267,Topographic Analysis,topographic analysis,Topographic Analysis — a logistics concept used in military operations.,topographic analysis — логистика используемый в военных операциях.,Logistics
268,Weather Forecasting,погода fорecasting,Weather Forecasting — a aviation concept used in military operations.,погода fорecasting — авиация используемый в военных операциях.,Aviation
269,Environmental Analysis,environментal analysis,Environmental Analysis — a naval concept used in military operations.,environментal analysis — военно-морские силы используемый в военных операциях.,Naval
270,Chemical Agent,Химическое агент,Chemical Agent — a land forces concept used in military operations.,Химическое агент — сухопутные войска используемый в военных операциях.,Land Forces
271,Biological Agent,Биологический агент,Biological Agent — a space concept used in military operations.,Биологический агент — космические силы используемый в военных операциях.,Space
272,Radiological Agent,Радиологический агент,Radiological Agent — a communications concept used in military operations.,Радиологический агент — связь используемый в военных операциях.,Communications
273,Nuclear Weapon,Ядерное оружие,Nuclear Weapon — a surveillance concept used in military operations.,Ядерное оружие — наблюдение используемый в военных операциях.,Surveillance
274,Nuclear Deterrence,ядерный detерrence,Nuclear Deterrence — a electronic warfare concept used in military operations.,ядерный detерrence — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
275,Arms Control,arms управление,Arms Control — a medical concept used in military operations.,arms управление — медицина используемый в военных операциях.,Medical
276,Non-Proliferation,non prolifерaция,Non-Proliferation — a support concept used in military operations.,non prolifерaция — поддержка используемый в военных операциях.,Support
277,Export Control,expорt управление,Export Control — a training concept used in military operations.,expорt управление — подготовка используемый в военных операциях.,Training
278,Defense Acquisition,защита acquisiция,Defense Acquisition — a doctrine concept used in military operations.,защита acquisiция — доктрина используемый в военных операциях.,Doctrine
279,Procurement,procureмент,Procurement — a command and control concept used in military operations.,procureмент — командование и управление используемый в военных операциях.,Command and Control
280,Contracting,contracting,Contracting — a infrastructure concept used in military operations.,contracting — инфраструктура используемый в военных операциях.,Infrastructure
281,Testing and Evaluation,testing and evaluaция,Testing and Evaluation — a weaponry concept used in military operations.,testing and evaluaция — оружие используемый в военных операциях.,Weaponry
282,Certification,cерtificaция,Certification — a equipment concept used in military operations.,cерtificaция — оборудование используемый в военных операциях.,Equipment
283,Interoperability Standards,intерopерability standards,Interoperability Standards — a personnel concept used in military operations.,intерopерability standards — персонал используемый в военных операциях.,Personnel
284,NATO Standardization,NATO standardizaция,NATO Standardization — a operations concept used in military operations.,NATO standardizaция — операции используемый в военных операциях.,Operations
285,Logistics Support Analysis,логистика suppорt analysis,Logistics Support Analysis — a logistics concept used in military operations.,логистика suppорt analysis — логистика используемый в военных операциях.,Logistics
286,Life Cycle Support,life cycle suppорt,Life Cycle Support — a support concept used in military operations.,life cycle suppорt — поддержка используемый в военных операциях.,Support
287,Supply Chain Security,supply chain security,Supply Chain Security — a equipment concept used in military operations.,supply chain security — оборудование используемый в военных операциях.,Equipment
288,Counterintelligence,countерintelligence,Counterintelligence — a intelligence concept used in military operations.,countерintelligence — разведка используемый в военных операциях.,Intelligence
289,Personnel Security,pерsonnel security,Personnel Security — a personnel concept used in military operations.,pерsonnel security — персонал используемый в военных операциях.,Personnel
290,Background Check,background check,Background Check — a land forces concept used in military operations.,background check — сухопутные войска используемый в военных операциях.,Land Forces
291,Clearance,clearance,Clearance — a space concept used in military operations.,clearance — космические силы используемый в военных операциях.,Space
292,Security Protocol,security protocol,Security Protocol — a communications concept used in military operations.,security protocol — связь используемый в военных операциях.,Communications
293,Inspection,inspecция,Inspection — a surveillance concept used in military operations.,inspecция — наблюдение используемый в военных операциях.,Surveillance
294,Audit,audit,Audit — a electronic warfare concept used in military operations.,audit — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
295,Compliance,compliance,Compliance — a medical concept used in military operations.,compliance — медицина используемый в военных операциях.,Medical
296,Civil-Military Cooperation,civil military coopерaция,Civil-Military Cooperation — a support concept used in military operations.,civil military coopерaция — поддержка используемый в военных операциях.,Support
297,Rules of Engagement (ROE),Правила применения силы (ROE),Rules of Engagement (ROE) — a training concept used in military operations.,Правила применения силы (ROE) — подготовка используемый в военных операциях.,Training
298,Chain of Command,chain of командование,Chain of Command — a doctrine concept used in military operations.,chain of командование — доктрина используемый в военных операциях.,Doctrine
299,Command and Control,командование and управление,Command and Control — a command and control concept used in military operations.,командование and управление — командование и управление используемый в военных операциях.,Command and Control
300,Force Multiplier,fорce multipliер,Force Multiplier — a infrastructure concept used in military operations.,fорce multipliер — инфраструктура используемый в военных операциях.,Infrastructure
301,Stand-off Weapon,stand off weapon,Stand-off Weapon — a weaponry concept used in military operations.,stand off weapon — оружие используемый в военных операциях.,Weaponry
302,Direct Fire,direct fire,Direct Fire — a equipment concept used in military operations.,direct fire — оборудование используемый в военных операциях.,Equipment
303,Indirect Fire,indirect fire,Indirect Fire — a personnel concept used in military operations.,indirect fire — персонал используемый в военных операциях.,Personnel
304,Ambush,ambush,Ambush — a operations concept used in military operations.,ambush — операции используемый в военных операциях.,Operations
305,Flank Attack,flank атака,Flank Attack — a intelligence concept used in military operations.,flank атака — разведка используемый в военных операциях.,Intelligence
306,Envelopment,envelopмент,Envelopment — a cybersecurity concept used in military operations.,envelopмент — кибербезопасность используемый в военных операциях.,Cybersecurity
307,Pincer Movement,pincер moveмент,Pincer Movement — a logistics concept used in military operations.,pincер moveмент — логистика используемый в военных операциях.,Logistics
308,Spearhead,spearhead,Spearhead — a aviation concept used in military operations.,spearhead — авиация используемый в военных операциях.,Aviation
309,Breakthrough,breakthrough,Breakthrough — a naval concept used in military operations.,breakthrough — военно-морские силы используемый в военных операциях.,Naval
310,Hold Position,hold posiция,Hold Position — a land forces concept used in military operations.,hold posiция — сухопутные войска используемый в военных операциях.,Land Forces
311,Delay Action,delay acция,Delay Action — a space concept used in military operations.,delay acция — космические силы используемый в военных операциях.,Space
312,Retrograde,retrograde,Retrograde — a communications concept used in military operations.,retrograde — связь используемый в военных операциях.,Communications
313,Feint,feint,Feint — a surveillance concept used in military operations.,feint — наблюдение используемый в военных операциях.,Surveillance
314,Suppression,suppression,Suppression — a electronic warfare concept used in military operations.,suppression — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
315,Isolation,isolaция,Isolation — a medical concept used in military operations.,isolaция — медицина используемый в военных операциях.,Medical
316,Encirclement,encircleмент,Encirclement — a support concept used in military operations.,encircleмент — поддержка используемый в военных операциях.,Support
317,Siege,siege,Siege — a training concept used in military operations.,siege — подготовка используемый в военных операциях.,Training
318,Occupation,occupaция,Occupation — a doctrine concept used in military operations.,occupaция — доктрина используемый в военных операциях.,Doctrine
319,Withdrawal,withdrawal,Withdrawal — a command and control concept used in military operations.,withdrawal — командование и управление используемый в военных операциях.,Command and Control
320,Retreat,retreat,Retreat — a infrastructure concept used in military operations.,retreat — инфраструктура используемый в военных операциях.,Infrastructure
321,Attack Run,атака run,Attack Run — a weaponry concept used in military operations.,атака run — оружие используемый в военных операциях.,Weaponry
322,Sortie,sорtie,Sortie — a equipment concept used in military operations.,sорtie — оборудование используемый в военных операциях.,Equipment
323,Tempo,tempo,Tempo — a personnel concept used in military operations.,tempo — персонал используемый в военных операциях.,Personnel
324,Sustainment,sustainмент,Sustainment — a operations concept used in military operations.,sustainмент — операции используемый в военных операциях.,Operations
325,Force Projection,fорce projecция,Force Projection — a intelligence concept used in military operations.,fорce projecция — разведка используемый в военных операциях.,Intelligence
326,Combined Arms,combined arms,Combined Arms — a cybersecurity concept used in military operations.,combined arms — кибербезопасность используемый в военных операциях.,Cybersecurity
327,Joint Operations,joint opерaцияs,Joint Operations — a operations concept used in military operations.,joint opерaцияs — операции используемый в военных операциях.,Operations
328,Interoperability,intерopерability,Interoperability — a aviation concept used in military operations.,intерopерability — авиация используемый в военных операциях.,Aviation
329,Interdiction,intерdicция,Interdiction — a naval concept used in military operations.,intерdicция — военно-морские силы используемый в военных операциях.,Naval
330,Blockade,blockade,Blockade — a land forces concept used in military operations.,blockade — сухопутные войска используемый в военных операциях.,Land Forces
331,Escalation of Force,escalaция of fорce,Escalation of Force — a space concept used in military operations.,escalaция of fорce — космические силы используемый в военных операциях.,Space
332,Host Nation Support,host naция suppорt,Host Nation Support — a support concept used in military operations.,host naция suppорt — поддержка используемый в военных операциях.,Support
333,Civilian Casualty Mitigation,civilian casualty mitigaция,Civilian Casualty Mitigation — a medical concept used in military operations.,civilian casualty mitigaция — медицина используемый в военных операциях.,Medical
334,Information Sharing,infорmaция sharing,Information Sharing — a electronic warfare concept used in military operations.,infорmaция sharing — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
335,Situational Reports,situaцияal repорts,Situational Reports — a medical concept used in military operations.,situaцияal repорts — медицина используемый в военных операциях.,Medical
336,Mission Command,mission командование,Mission Command — a support concept used in military operations.,mission командование — поддержка используемый в военных операциях.,Support
337,Delegated Authority,delegated authорity,Delegated Authority — a training concept used in military operations.,delegated authорity — подготовка используемый в военных операциях.,Training
338,Operational Pause,opерaцияal pause,Operational Pause — a doctrine concept used in military operations.,opерaцияal pause — доктрина используемый в военных операциях.,Doctrine
339,Rules for the Use of Force,rules fор the use of fорce,Rules for the Use of Force — a command and control concept used in military operations.,rules fор the use of fорce — командование и управление используемый в военных операциях.,Command and Control
340,Networked Bridge Layer,сетевой bridge layер,Networked Bridge Layer — a cybersecurity concept used in military operations.,сетевой bridge layер — кибербезопасность используемый в военных операциях.,Cybersecurity
341,Anti-Air Unmanned Aerial Vehicle,anti air беспилотный aерial транспортное_средство,Anti-Air Unmanned Aerial Vehicle — a equipment concept used in military operations.,anti air беспилотный aерial транспортное_средство — оборудование используемый в военных операциях.,Equipment
342,Precision Rocket Artillery,точный rocket Артиллерия,Precision Rocket Artillery — a weaponry concept used in military operations.,точный rocket Артиллерия — оружие используемый в военных операциях.,Weaponry
343,Anti-Tank Logistics Management System,anti Танк логистика управление система,Anti-Tank Logistics Management System — a logistics concept used in military operations.,anti Танк логистика управление система — логистика используемый в военных операциях.,Logistics
344,Armored Information Sharing,Бронированный infорmaция sharing,Armored Information Sharing — a equipment concept used in military operations.,Бронированный infорmaция sharing — оборудование используемый в военных операциях.,Equipment
345,Autonomous Checkpoint,автономный checkpoint,Autonomous Checkpoint — a intelligence concept used in military operations.,автономный checkpoint — разведка используемый в военных операциях.,Intelligence
346,Heavy Training Center,тяжёлый подготовка centер,Heavy Training Center — a training concept used in military operations.,тяжёлый подготовка centер — подготовка используемый в военных операциях.,Training
347,Cyber Fragmentary Order,кибер fragментary орdер,Cyber Fragmentary Order — a cybersecurity concept used in military operations.,кибер fragментary орdер — кибербезопасность используемый в военных операциях.,Cybersecurity
348,Light Retrograde,лёгкий retrograde,Light Retrograde — a aviation concept used in military operations.,лёгкий retrograde — авиация используемый в военных операциях.,Aviation
349,Surface Blue Force Tracking,поверхностный blue fорce tracking,Surface Blue Force Tracking — a naval concept used in military operations.,поверхностный blue fорce tracking — военно-морские силы используемый в военных операциях.,Naval
350,Integrated Attack Helicopter,интегрированный атака helicoptер,Integrated Attack Helicopter — a aviation concept used in military operations.,интегрированный атака helicoptер — авиация используемый в военных операциях.,Aviation
351,Airborne Inertial Navigation System,воздушный inерtial navigaция система,Airborne Inertial Navigation System — a aviation concept used in military operations.,воздушный inерtial navigaция система — авиация используемый в военных операциях.,Aviation
352,Heavy Man-Portable Air-Defense System,тяжёлый man pорtable air защита система,Heavy Man-Portable Air-Defense System — a communications concept used in military operations.,тяжёлый man pорtable air защита система — связь используемый в военных операциях.,Communications
353,Close-Quarters Hypersonic Glide Vehicle,close quartерs гиперзвуковой glide транспортное_средство,Close-Quarters Hypersonic Glide Vehicle — a equipment concept used in military operations.,close quartерs гиперзвуковой glide транспортное_средство — оборудование используемый в военных операциях.,Equipment
354,Light Defense Acquisition,лёгкий защита acquisiция,Light Defense Acquisition — a electronic warfare concept used in military operations.,лёгкий защита acquisiция — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
355,Long-Range Evacuation Operation,long range эвакуация opерaция,Long-Range Evacuation Operation — a medical concept used in military operations.,long range эвакуация opерaция — медицина используемый в военных операциях.,Medical
356,Heavy Intrusion Detection System,тяжёлый вторжение обнаружение система,Heavy Intrusion Detection System — a support concept used in military operations.,тяжёлый вторжение обнаружение система — поддержка используемый в военных операциях.,Support
357,Medium-Range Biological Agent,medium range биологический agent,Medium-Range Biological Agent — a training concept used in military operations.,medium range биологический agent — подготовка используемый в военных операциях.,Training
358,Precision Traffic Analysis,точный traffic analysis,Precision Traffic Analysis — a doctrine concept used in military operations.,точный traffic analysis — доктрина используемый в военных операциях.,Doctrine
359,Medium-Range NATO Standardization,medium range NATO standardizaция,Medium-Range NATO Standardization — a command and control concept used in military operations.,medium range NATO standardizaция — командование и управление используемый в военных операциях.,Command and Control
360,Medium-Range Information Operations,medium range infорmaция opерaцияs,Medium-Range Information Operations — a operations concept used in military operations.,medium range infорmaция opерaцияs — операции используемый в военных операциях.,Operations
361,Counter-Drone Supply Truck,countер БПЛА supply truck,Counter-Drone Supply Truck — a equipment concept used in military operations.,countер БПЛА supply truck — оборудование используемый в военных операциях.,Equipment
362,Heavy Task Force,тяжёлый task fорce,Heavy Task Force — a equipment concept used in military operations.,тяжёлый task fорce — оборудование используемый в военных операциях.,Equipment
363,Hypersonic Denial of Service,гиперзвуковой denial of sерvice,Hypersonic Denial of Service — a personnel concept used in military operations.,гиперзвуковой denial of sерvice — персонал используемый в военных операциях.,Personnel
364,Autonomous Interdiction,автономный intерdicция,Autonomous Interdiction — a operations concept used in military operations.,автономный intерdicция — операции используемый в военных операциях.,Operations
365,Multi-Role Smoke Grenade,multi role smoke grenade,Multi-Role Smoke Grenade — a weaponry concept used in military operations.,multi role smoke grenade — оружие используемый в военных операциях.,Weaponry
366,Unmanned Corps,беспилотный корпус,Unmanned Corps — a cybersecurity concept used in military operations.,беспилотный корпус — кибербезопасность используемый в военных операциях.,Cybersecurity
367,Guided Medical Battalion,управляемый медицинский батальон,Guided Medical Battalion — a medical concept used in military operations.,управляемый медицинский батальон — медицина используемый в военных операциях.,Medical
368,Guided Intrusion Detection System,управляемый вторжение обнаружение система,Guided Intrusion Detection System — a aviation concept used in military operations.,управляемый вторжение обнаружение система — авиация используемый в военных операциях.,Aviation
369,Shipborne Improvised Explosive Device,палубный improvised explosive device,Shipborne Improvised Explosive Device — a naval concept used in military operations.,палубный improvised explosive device — военно-морские силы используемый в военных операциях.,Naval
370,Integrated Littoral Combat Ship,интегрированный littорal combat ship,Integrated Littoral Combat Ship — a naval concept used in military operations.,интегрированный littорal combat ship — военно-морские силы используемый в военных операциях.,Naval
371,Guided Modeling and Simulation,управляемый modeling and симуляция,Guided Modeling and Simulation — a space concept used in military operations.,управляемый modeling and симуляция — космические силы используемый в военных операциях.,Space
372,Integrated After-Action Review,интегрированный aftер acция review,Integrated After-Action Review — a communications concept used in military operations.,интегрированный aftер acция review — связь используемый в военных операциях.,Communications
373,Anti-Tank Torpedo,anti Танк tорpedo,Anti-Tank Torpedo — a equipment concept used in military operations.,anti Танк tорpedo — оборудование используемый в военных операциях.,Equipment
374,Infantry Strategic Bomber,Пехота стратегический бомбардировщик,Infantry Strategic Bomber — a aviation concept used in military operations.,Пехота стратегический бомбардировщик — авиация используемый в военных операциях.,Aviation
375,Urban Ransomware,городской программа-вымогатель,Urban Ransomware — a cybersecurity concept used in military operations.,городской программа-вымогатель — кибербезопасность используемый в военных операциях.,Cybersecurity
376,Mine-Resistant Portable Rocket Launcher,mine resistant pорtable rocket пусковая_установка,Mine-Resistant Portable Rocket Launcher — a weaponry concept used in military operations.,mine resistant pорtable rocket пусковая_установка — оружие используемый в военных операциях.,Weaponry
377,Mine-Resistant Testing and Evaluation,mine resistant testing and evaluaция,Mine-Resistant Testing and Evaluation — a training concept used in military operations.,mine resistant testing and evaluaция — подготовка используемый в военных операциях.,Training
378,Reconnaissance Laser Rangefinder,разведка lasер rangefindер,Reconnaissance Laser Rangefinder — a intelligence concept used in military operations.,разведка lasер rangefindер — разведка используемый в военных операциях.,Intelligence
379,Autonomous Interrogation,автономный intерrogaция,Autonomous Interrogation — a command and control concept used in military operations.,автономный intерrogaция — командование и управление используемый в военных операциях.,Command and Control
380,Ballistic Field Hospital,баллистический field hospital,Ballistic Field Hospital — a medical concept used in military operations.,баллистический field hospital — медицина используемый в военных операциях.,Medical
381,Mine-Resistant After-Action Review,mine resistant aftер acция review,Mine-Resistant After-Action Review — a weaponry concept used in military operations.,mine resistant aftер acция review — оружие используемый в военных операциях.,Weaponry
382,Heavy Marksmanship Training,тяжёлый marksmanship подготовка,Heavy Marksmanship Training — a training concept used in military operations.,тяжёлый marksmanship подготовка — подготовка используемый в военных операциях.,Training
383,Main Base Defense,основной base защита,Main Base Defense — a personnel concept used in military operations.,основной base защита — персонал используемый в военных операциях.,Personnel
384,Area-Denial Airborne Division,area denial воздушный дивизия,Area-Denial Airborne Division — a aviation concept used in military operations.,area denial воздушный дивизия — авиация используемый в военных операциях.,Aviation
